time,run_id,gps_latitude,gps_longitude,gps_speed,t,theta,omega,v,simulation_running
2026-09-09 13:22:01.65+00:00,0,47.05150505,8.31236881,18.000,1.650,-0.049,-0.105,5.000,True
2026-09-09 13:22:01.70+00:00,0,47.05150494,8.31237211,18.000,1.700,-0.054,-0.105,5.000,True
2026-09-09 13:22:01.75+00:00,0,47.05150481,8.31237540,18.000,1.750,-0.059,-0.105,5.000,True
2026-09-09 13:22:01.80+00:00,0,47.05150468,8.31237870,18.000,1.800,-0.065,-0.105,5.000,True
2026-09-09 13:22:01.85+00:00,0,47.05150454,8.31238199,18.000,1.850,-0.070,-0.105,5.000,True
2026-09-09 13:22:01.90+00:00,0,47.05150438,8.31238528,18.000,1.900,-0.075,-0.105,5.000,True
2026-09-09 13:22:01.95+00:00,0,47.05150421,8.31238857,18.000,1.950,-0.080,-0.105,5.000,True
2026-09-09 13:22:02.00+00:00,0,47.05150403,8.31239186,18.000,2.000,-0.086,-0.105,5.000,True
2026-09-09 13:22:02.05+00:00,0,47.05150384,8.31239515,18.000,2.050,-0.091,-0.105,5.000,True
2026-09-09 13:22:02.10+00:00,0,47.05150363,8.31239844,18.000,2.100,-0.096,-0.105,5.000,True
2026-09-09 13:22:02.15+00:00,0,47.05150342,8.31240172,18.000,2.150,-0.101,-0.105,5.000,True
2026-09-09 13:22:02.20+00:00,0,47.05150319,8.31240500,18.000,2.200,-0.106,-0.105,5.000,True
2026-09-09 13:22:02.25+00:00,0,47.05150295,8.31240828,18.000,2.250,-0.112,-0.105,5.000,True
2026-09-09 13:22:02.30+00:00,0,47.05150270,8.31241156,18.000,2.300,-0.117,-0.105,5.000,True
2026-09-09 13:22:02.35+00:00,0,47.05150244,8.31241484,18.000,2.350,-0.122,-0.105,5.000,True
2026-09-09 13:22:02.40+00:00,0,47.05150217,8.31241812,18.000,2.400,-0.127,-0.105,5.000,True
2026-09-09 13:22:02.45+00:00,0,47.05150188,8.31242139,18.000,2.450,-0.133,-0.105,5.000,True
2026-09-09 13:22:02.50+00:00,0,47.05150158,8.31242466,18.000,2.500,-0.138,-0.105,5.000,True
2026-09-09 13:22:02.55+00:00,0,47.05150127,8.31242793,18.000,2.550,-0.143,-0.105,5.000,True
2026-09-09 13:22:02.60+00:00,0,47.05150095,8.31243119,18.000,2.600,-0.148,-0.105,5.000,True
2026-09-09 13:22:02.65+00:00,0,47.05150062,8.31243446,18.000,2.650,-0.154,-0.105,5.000,True
2026-09-09 13:22:02.70+00:00,0,47.05150028,8.31243772,18.000,2.700,-0.159,-0.105,5.000,True
2026-09-09 13:22:02.75+00:00,0,47.05149992,8.31244098,18.000,2.750,-0.164,-0.105,5.000,True
2026-09-09 13:22:02.80+00:00,0,47.05149955,8.31244423,18.000,2.800,-0.169,-0.105,5.000,True
2026-09-09 13:22:02.85+00:00,0,47.05149917,8.31244749,18.000,2.850,-0.175,-0.105,5.000,True
2026-09-09 13:22:02.90+00:00,0,47.05149878,8.31245073,18.000,2.900,-0.180,-0.105,5.000,True
2026-09-09 13:22:02.95+00:00,0,47.05149838,8.31245398,18.000,2.950,-0.185,-0.105,5.000,True
2026-09-09 13:22:03.00+00:00,0,47.05149797,8.31245723,18.000,3.000,-0.190,-0.105,5.000,True
2026-09-09 13:22:03.05+00:00,0,47.05149754,8.31246047,18.000,3.050,-0.195,-0.105,5.000,True
2026-09-09 13:22:03.10+00:00,0,47.05149711,8.31246370,18.000,3.100,-0.201,-0.105,5.000,True
2026-09-09 13:22:03.15+00:00,0,47.05149666,8.31246694,18.000,3.150,-0.206,-0.105,5.000,True
2026-09-09 13:22:03.20+00:00,0,47.05149620,8.31247017,18.000,3.200,-0.211,-0.105,5.000,True
2026-09-09 13:22:03.25+00:00,0,47.05149573,8.31247339,18.000,3.250,-0.216,-0.105,5.000,True
2026-09-09 13:22:03.30+00:00,0,47.05149524,8.31247662,18.000,3.300,-0.222,-0.105,5.000,True
2026-09-09 13:22:03.35+00:00,0,47.05149475,8.31247983,18.000,3.350,-0.227,-0.105,5.000,True
2026-09-09 13:22:03.40+00:00,0,47.05149424,8.31248305,18.000,3.400,-0.232,-0.105,5.000,True
2026-09-09 13:22:03.45+00:00,0,47.05149373,8.31248626,18.000,3.450,-0.237,-0.105,5.000,True
2026-09-09 13:22:03.50+00:00,0,47.05149320,8.31248947,18.000,3.500,-0.243,-0.105,5.000,True
2026-09-09 13:22:03.55+00:00,0,47.05149266,8.31249267,18.000,3.550,-0.248,-0.105,5.000,True
2026-09-09 13:22:03.60+00:00,0,47.05149211,8.31249587,18.000,3.600,-0.253,-0.105,5.000,True
2026-09-09 13:22:03.65+00:00,0,47.05149154,8.31249907,18.000,3.650,-0.258,-0.105,5.000,True
2026-09-09 13:22:03.70+00:00,0,47.05149097,8.31250226,18.000,3.700,-0.264,-0.105,5.000,True
2026-09-09 13:22:03.75+00:00,0,47.05149038,8.31250544,18.000,3.750,-0.269,-0.105,5.000,True
2026-09-09 13:22:03.80+00:00,0,47.05148979,8.31250862,18.000,3.800,-0.274,-0.122,5.000,True
2026-09-09 13:22:03.85+00:00,0,47.05148918,8.31251180,18.000,3.850,-0.280,-0.122,5.000,True
2026-09-09 13:22:03.90+00:00,0,47.05148856,8.31251497,18.000,3.900,-0.286,-0.122,5.000,True
2026-09-09 13:22:03.95+00:00,0,47.05148792,8.31251814,18.000,3.950,-0.292,-0.122,5.000,True
2026-09-09 13:22:04.00+00:00,0,47.05148727,8.31252130,18.000,4.000,-0.298,-0.157,5.000,True
2026-09-09 13:22:04.05+00:00,0,47.05148661,8.31252445,18.000,4.050,-0.306,-0.157,5.000,True
2026-09-09 13:22:04.10+00:00,0,47.05148594,8.31252760,18.000,4.100,-0.314,-0.157,5.000,True
2026-09-09 13:22:04.15+00:00,0,47.05148524,8.31253073,18.000,4.150,-0.322,-0.157,5.000,True
2026-09-09 13:22:04.20+00:00,0,47.05148453,8.31253386,18.000,4.200,-0.330,-0.157,5.000,True
2026-09-09 13:22:04.25+00:00,0,47.05148380,8.31253699,18.000,4.250,-0.338,-0.157,5.000,True
2026-09-09 13:22:04.30+00:00,0,47.05148306,8.31254010,18.000,4.300,-0.346,-0.157,5.000,True
2026-09-09 13:22:04.35+00:00,0,47.05148229,8.31254320,18.000,4.350,-0.353,-0.157,5.000,True
2026-09-09 13:22:04.40+00:00,0,47.05148152,8.31254630,18.000,4.400,-0.361,-0.157,5.000,True
2026-09-09 13:22:04.45+00:00,0,47.05148072,8.31254939,18.000,4.450,-0.369,-0.157,5.000,True
2026-09-09 13:22:04.50+00:00,0,47.05147991,8.31255246,18.000,4.500,-0.377,-0.157,5.000,True
2026-09-09 13:22:04.55+00:00,0,47.05147908,8.31255553,18.000,4.550,-0.385,-0.157,5.000,True
2026-09-09 13:22:04.60+00:00,0,47.05147824,8.31255859,18.000,4.600,-0.393,-0.157,5.000,True
2026-09-09 13:22:04.65+00:00,0,47.05147738,8.31256164,18.000,4.650,-0.401,-0.157,5.000,True
2026-09-09 13:22:04.70+00:00,0,47.05147650,8.31256468,18.000,4.700,-0.408,-0.157,5.000,True
2026-09-09 13:22:04.75+00:00,0,47.05147561,8.31256771,18.000,4.750,-0.416,-0.157,5.000,True
2026-09-09 13:22:04.80+00:00,0,47.05147470,8.31257073,18.000,4.800,-0.424,-0.157,5.000,True
2026-09-09 13:22:04.85+00:00,0,47.05147377,8.31257373,18.000,4.850,-0.432,-0.157,5.000,True
2026-09-09 13:22:04.90+00:00,0,47.05147283,8.31257673,18.000,4.900,-0.440,-0.157,5.000,True
2026-09-09 13:22:04.95+00:00,0,47.05147188,8.31257972,18.000,4.950,-0.448,-0.157,5.000,True
2026-09-09 13:22:05.00+00:00,0,47.05147090,8.31258269,18.000,5.000,-0.456,-0.157,5.000,True
2026-09-09 13:22:05.05+00:00,0,47.05146991,8.31258565,18.000,5.050,-0.463,-0.157,5.000,True
2026-09-09 13:22:05.10+00:00,0,47.05146891,8.31258860,18.000,5.100,-0.471,-0.157,5.000,True
2026-09-09 13:22:05.15+00:00,0,47.05146789,8.31259155,18.000,5.150,-0.479,-0.157,5.000,True
2026-09-09 13:22:05.20+00:00,0,47.05146685,8.31259447,18.000,5.200,-0.487,-0.157,5.000,True
2026-09-09 13:22:05.25+00:00,0,47.05146580,8.31259739,18.000,5.250,-0.495,-0.157,5.000,True
2026-09-09 13:22:05.30+00:00,0,47.05146473,8.31260029,18.000,5.300,-0.503,-0.157,5.000,True
2026-09-09 13:22:05.35+00:00,0,47.05146365,8.31260319,18.000,5.350,-0.511,-0.157,5.000,True
2026-09-09 13:22:05.40+00:00,0,47.05146255,8.31260606,18.000,5.400,-0.518,-0.157,5.000,True
2026-09-09 13:22:05.45+00:00,0,47.05146144,8.31260893,18.000,5.450,-0.526,-0.157,5.000,True
2026-09-09 13:22:05.50+00:00,0,47.05146031,8.31261178,18.000,5.500,-0.534,-0.157,5.000,True
2026-09-09 13:22:05.55+00:00,0,47.05145916,8.31261462,18.000,5.550,-0.542,-0.157,5.000,True
2026-09-09 13:22:05.60+00:00,0,47.05145800,8.31261745,18.000,5.600,-0.550,-0.157,5.000,True
2026-09-09 13:22:05.65+00:00,0,47.05145683,8.31262026,18.000,5.650,-0.558,-0.157,5.000,True
2026-09-09 13:22:05.70+00:00,0,47.05145564,8.31262306,18.000,5.700,-0.565,-0.157,5.000,True
2026-09-09 13:22:05.75+00:00,0,47.05145443,8.31262585,18.000,5.750,-0.573,-0.157,5.000,True
2026-09-09 13:22:05.80+00:00,0,47.05145321,8.31262862,18.000,5.800,-0.581,-0.157,5.000,True
2026-09-09 13:22:05.85+00:00,0,47.05145198,8.31263138,18.000,5.850,-0.589,-0.157,5.000,True
2026-09-09 13:22:05.90+00:00,0,47.05145073,8.31263412,18.000,5.900,-0.597,-0.157,5.000,True
2026-09-09 13:22:05.95+00:00,0,47.05144947,8.31263685,18.000,5.950,-0.605,-0.157,5.000,True
2026-09-09 13:22:06.00+00:00,0,47.05144819,8.31263957,18.000,6.000,-0.613,-0.157,5.000,True
2026-09-09 13:22:06.05+00:00,0,47.05144690,8.31264227,18.000,6.050,-0.620,-0.157,5.000,True
2026-09-09 13:22:06.10+00:00,0,47.05144559,8.31264495,18.000,6.100,-0.628,-0.157,5.000,True
2026-09-09 13:22:06.15+00:00,0,47.05144427,8.31264762,18.000,6.150,-0.636,-0.157,5.000,True
2026-09-09 13:22:06.20+00:00,0,47.05144293,8.31265028,18.000,6.200,-0.644,-0.157,5.000,True
2026-09-09 13:22:06.25+00:00,0,47.05144158,8.31265292,18.000,6.250,-0.652,-0.157,5.000,True
2026-09-09 13:22:06.30+00:00,0,47.05144022,8.31265554,18.000,6.300,-0.660,-0.157,5.000,True
2026-09-09 13:22:06.35+00:00,0,47.05143884,8.31265815,18.000,6.350,-0.668,-0.157,5.000,True
2026-09-09 13:22:06.40+00:00,0,47.05143745,8.31266074,18.000,6.400,-0.675,-0.157,5.000,True
2026-09-09 13:22:06.45+00:00,0,47.05143604,8.31266331,18.000,6.450,-0.683,-0.157,5.000,True
2026-09-09 13:22:06.50+00:00,0,47.05143462,8.31266587,18.000,6.500,-0.691,-0.157,5.000,True
2026-09-09 13:22:06.55+00:00,0,47.05143319,8.31266841,18.000,6.550,-0.699,-0.157,5.000,True
2026-09-09 13:22:06.60+00:00,0,47.05143174,8.31267094,18.000,6.600,-0.707,-0.157,5.000,True
2026-09-09 13:22:06.65+00:00,0,47.05143028,8.31267345,18.000,6.650,-0.715,-0.157,5.000,True
2026-09-09 13:22:06.70+00:00,0,47.05142881,8.31267594,18.000,6.700,-0.723,-0.140,5.000,True
2026-09-09 13:22:06.75+00:00,0,47.05142732,8.31267842,18.000,6.750,-0.730,-0.140,5.000,True
2026-09-09 13:22:06.80+00:00,0,47.05142582,8.31268088,18.000,6.800,-0.737,-0.140,5.000,True
2026-09-09 13:22:06.85+00:00,0,47.05142431,8.31268332,18.000,6.850,-0.744,-0.140,5.000,True
2026-09-09 13:22:06.90+00:00,0,47.05142279,8.31268575,18.000,6.900,-0.750,-0.105,5.000,True
2026-09-09 13:22:06.95+00:00,0,47.05142126,8.31268816,18.000,6.950,-0.756,-0.070,5.000,True
2026-09-09 13:22:07.00+00:00,0,47.05141972,8.31269057,18.000,7.000,-0.759,-0.052,5.000,True
2026-09-09 13:22:07.05+00:00,0,47.05141817,8.31269296,18.000,7.050,-0.762,-0.017,5.000,True
2026-09-09 13:22:07.10+00:00,0,47.05141662,8.31269535,18.000,7.100,-0.763,-0.017,5.000,True
2026-09-09 13:22:07.15+00:00,0,47.05141506,8.31269773,18.000,7.150,-0.764,-0.017,5.000,True
2026-09-09 13:22:07.20+00:00,0,47.05141351,8.31270012,18.000,7.200,-0.764,-0.017,5.000,True
2026-09-09 13:22:07.25+00:00,0,47.05141195,8.31270250,18.000,7.250,-0.765,-0.017,5.000,True
2026-09-09 13:22:07.30+00:00,0,47.05141039,8.31270488,18.000,7.300,-0.766,-0.017,5.000,True
2026-09-09 13:22:07.35+00:00,0,47.05140884,8.31270726,18.000,7.350,-0.767,-0.017,5.000,True
2026-09-09 13:22:07.40+00:00,0,47.05140728,8.31270963,18.000,7.400,-0.768,-0.017,5.000,True
2026-09-09 13:22:07.45+00:00,0,47.05140571,8.31271200,18.000,7.450,-0.769,-0.017,5.000,True
2026-09-09 13:22:07.50+00:00,0,47.05140415,8.31271438,18.000,7.500,-0.770,-0.017,5.000,True
2026-09-09 13:22:07.55+00:00,0,47.05140259,8.31271675,18.000,7.550,-0.771,-0.017,5.000,True
2026-09-09 13:22:07.60+00:00,0,47.05140102,8.31271911,18.000,7.600,-0.771,-0.017,5.000,True
2026-09-09 13:22:07.65+00:00,0,47.05139945,8.31272148,18.000,7.650,-0.772,-0.017,5.000,True
2026-09-09 13:22:07.70+00:00,0,47.05139788,8.31272384,18.000,7.700,-0.773,-0.017,5.000,True
2026-09-09 13:22:07.75+00:00,0,47.05139631,8.31272620,18.000,7.750,-0.774,-0.017,5.000,True
2026-09-09 13:22:07.80+00:00,0,47.05139474,8.31272856,18.000,7.800,-0.775,-0.017,5.000,True
2026-09-09 13:22:07.85+00:00,0,47.05139317,8.31273092,18.000,7.850,-0.776,-0.017,5.000,True
2026-09-09 13:22:07.90+00:00,0,47.05139159,8.31273328,18.000,7.900,-0.777,-0.017,5.000,True
2026-09-09 13:22:07.95+00:00,0,47.05139002,8.31273563,18.000,7.950,-0.778,-0.017,5.000,True
2026-09-09 13:22:08.00+00:00,0,47.05138844,8.31273798,18.000,8.000,-0.778,-0.017,5.000,True
2026-09-09 13:22:08.05+00:00,0,47.05138686,8.31274033,18.000,8.050,-0.779,-0.017,5.000,True
2026-09-09 13:22:08.10+00:00,0,47.05138528,8.31274268,18.000,8.100,-0.780,-0.017,5.000,True
2026-09-09 13:22:08.15+00:00,0,47.05138370,8.31274502,18.000,8.150,-0.781,-0.017,5.000,True
2026-09-09 13:22:08.20+00:00,0,47.05138212,8.31274737,18.000,8.200,-0.782,-0.017,5.000,True
2026-09-09 13:22:08.25+00:00,0,47.05138053,8.31274971,18.000,8.250,-0.783,-0.017,5.000,True
2026-09-09 13:22:08.30+00:00,0,47.05137895,8.31275205,18.000,8.300,-0.784,-0.017,5.000,True
2026-09-09 13:22:08.35+00:00,0,47.05137736,8.31275439,18.000,8.350,-0.785,-0.017,5.000,True
2026-09-09 13:22:08.40+00:00,0,47.05137577,8.31275672,18.000,8.400,-0.785,-0.017,5.000,True
2026-09-09 13:22:08.45+00:00,0,47.05137418,8.31275906,18.000,8.450,-0.786,-0.017,5.000,True
2026-09-09 13:22:08.50+00:00,0,47.05137259,8.31276139,18.000,8.500,-0.787,-0.017,5.000,True
2026-09-09 13:22:08.55+00:00,0,47.05137100,8.31276372,18.000,8.550,-0.788,-0.017,5.000,True
2026-09-09 13:22:08.60+00:00,0,47.05136941,8.31276604,18.000,8.600,-0.789,-0.017,5.000,True
2026-09-09 13:22:08.65+00:00,0,47.05136781,8.31276837,18.000,8.650,-0.790,-0.017,5.000,True
2026-09-09 13:22:08.70+00:00,0,47.05136621,8.31277069,18.000,8.700,-0.791,-0.017,5.000,True
2026-09-09 13:22:08.75+00:00,0,47.05136462,8.31277301,18.000,8.750,-0.792,-0.017,5.000,True
2026-09-09 13:22:08.80+00:00,0,47.05136302,8.31277533,18.000,8.800,-0.792,-0.017,5.000,True
2026-09-09 13:22:08.85+00:00,0,47.05136141,8.31277765,18.000,8.850,-0.793,-0.017,5.000,True
2026-09-09 13:22:08.90+00:00,0,47.05135981,8.31277996,18.000,8.900,-0.794,-0.017,5.000,True
2026-09-09 13:22:08.95+00:00,0,47.05135821,8.31278228,18.000,8.950,-0.795,-0.017,5.000,True
2026-09-09 13:22:09.00+00:00,0,47.05135660,8.31278459,18.000,9.000,-0.796,-0.017,5.000,True
2026-09-09 13:22:09.05+00:00,0,47.05135500,8.31278690,18.000,9.050,-0.797,-0.017,5.000,True
2026-09-09 13:22:09.10+00:00,0,47.05135339,8.31278920,18.000,9.100,-0.798,-0.017,5.000,True
2026-09-09 13:22:09.15+00:00,0,47.05135178,8.31279151,18.000,9.150,-0.798,-0.017,5.000,True
2026-09-09 13:22:09.20+00:00,0,47.05135017,8.31279381,18.000,9.200,-0.799,-0.017,5.000,True
2026-09-09 13:22:09.25+00:00,0,47.05134856,8.31279611,18.000,9.250,-0.800,-0.017,5.000,True
2026-09-09 13:22:09.30+00:00,0,47.05134695,8.31279841,18.000,9.300,-0.801,-0.017,5.000,True
2026-09-09 13:22:09.35+00:00,0,47.05134533,8.31280070,18.000,9.350,-0.802,-0.017,5.000,True
2026-09-09 13:22:09.40+00:00,0,47.05134371,8.31280300,18.000,9.400,-0.803,-0.017,5.000,True
2026-09-09 13:22:09.45+00:00,0,47.05134210,8.31280529,18.000,9.450,-0.804,-0.017,5.000,True
2026-09-09 13:22:09.50+00:00,0,47.05134048,8.31280758,18.000,9.500,-0.805,-0.017,5.000,True
2026-09-09 13:22:09.55+00:00,0,47.05133886,8.31280987,18.000,9.550,-0.805,-0.017,5.000,True
2026-09-09 13:22:09.60+00:00,0,47.05133724,8.31281216,18.000,9.600,-0.806,-0.017,5.000,True
2026-09-09 13:22:09.65+00:00,0,47.05133561,8.31281444,18.000,9.650,-0.807,-0.017,5.000,True
2026-09-09 13:22:09.70+00:00,0,47.05133399,8.31281672,18.000,9.700,-0.808,-0.017,5.000,True
2026-09-09 13:22:09.75+00:00,0,47.05133237,8.31281900,18.000,9.750,-0.809,-0.017,5.000,True
2026-09-09 13:22:09.80+00:00,0,47.05133074,8.31282128,18.000,9.800,-0.810,-0.017,5.000,True
2026-09-09 13:22:09.85+00:00,0,47.05132911,8.31282355,18.000,9.850,-0.811,-0.017,5.000,True
2026-09-09 13:22:09.90+00:00,0,47.05132748,8.31282583,18.000,9.900,-0.812,-0.017,5.000,True
2026-09-09 13:22:09.95+00:00,0,47.05132585,8.31282810,18.000,9.950,-0.812,-0.017,5.000,True
2026-09-09 13:22:10.00+00:00,0,47.05132422,8.31283037,18.000,10.000,-0.813,-0.017,5.000,True
2026-09-09 13:22:10.05+00:00,0,47.05132258,8.31283264,18.000,10.050,-0.814,0.000,5.000,True
2026-09-09 13:22:10.10+00:00,0,47.05132095,8.31283490,18.000,10.100,-0.814,0.000,5.000,True
2026-09-09 13:22:10.15+00:00,0,47.05131931,8.31283717,18.000,10.150,-0.814,0.000,5.000,True
2026-09-09 13:22:10.20+00:00,0,47.05131768,8.31283943,18.000,10.200,-0.814,0.017,5.000,True
2026-09-09 13:22:10.25+00:00,0,47.05131604,8.31284170,18.000,10.250,-0.813,0.052,5.000,True
2026-09-09 13:22:10.30+00:00,0,47.05131441,8.31284396,18.000,10.300,-0.811,0.087,5.000,True
2026-09-09 13:22:10.35+00:00,0,47.05131278,8.31284624,18.000,10.350,-0.806,0.122,5.000,True
2026-09-09 13:22:10.40+00:00,0,47.05131116,8.31284852,18.000,10.400,-0.800,0.140,5.000,True
2026-09-09 13:22:10.45+00:00,0,47.05130955,8.31285082,18.000,10.450,-0.793,0.157,5.000,True
2026-09-09 13:22:10.50+00:00,0,47.05130794,8.31285313,18.000,10.500,-0.785,0.192,5.000,True
2026-09-09 13:22:10.55+00:00,0,47.05130635,8.31285547,18.000,10.550,-0.776,0.192,5.000,True
2026-09-09 13:22:10.60+00:00,0,47.05130478,8.31285782,18.000,10.600,-0.766,0.192,5.000,True
2026-09-09 13:22:10.65+00:00,0,47.05130322,8.31286020,18.000,10.650,-0.757,0.192,5.000,True
2026-09-09 13:22:10.70+00:00,0,47.05130168,8.31286260,18.000,10.700,-0.747,0.192,5.000,True
2026-09-09 13:22:10.75+00:00,0,47.05130015,8.31286502,18.000,10.750,-0.737,0.192,5.000,True
2026-09-09 13:22:10.80+00:00,0,47.05129864,8.31286746,18.000,10.800,-0.728,0.192,5.000,True
2026-09-09 13:22:10.85+00:00,0,47.05129714,8.31286993,18.000,10.850,-0.718,0.192,5.000,True
2026-09-09 13:22:10.90+00:00,0,47.05129566,8.31287241,18.000,10.900,-0.709,0.192,5.000,True
2026-09-09 13:22:10.95+00:00,0,47.05129420,8.31287492,18.000,10.950,-0.699,0.192,5.000,True
2026-09-09 13:22:11.00+00:00,0,47.05129275,8.31287744,18.000,11.000,-0.689,0.192,5.000,True
2026-09-09 13:22:11.05+00:00,0,47.05129132,8.31287999,18.000,11.050,-0.680,0.192,5.000,True
2026-09-09 13:22:11.10+00:00,0,47.05128991,8.31288256,18.000,11.100,-0.670,0.192,5.000,True
2026-09-09 13:22:11.15+00:00,0,47.05128851,8.31288514,18.000,11.150,-0.661,0.192,5.000,True
2026-09-09 13:22:11.20+00:00,0,47.05128713,8.31288775,18.000,11.200,-0.651,0.192,5.000,True
2026-09-09 13:22:11.25+00:00,0,47.05128577,8.31289037,18.000,11.250,-0.641,0.192,5.000,True
2026-09-09 13:22:11.30+00:00,0,47.05128443,8.31289302,18.000,11.300,-0.632,0.192,5.000,True
2026-09-09 13:22:11.35+00:00,0,47.05128310,8.31289568,18.000,11.350,-0.622,0.192,5.000,True
2026-09-09 13:22:11.40+00:00,0,47.05128179,8.31289836,18.000,11.400,-0.613,0.192,5.000,True
2026-09-09 13:22:11.45+00:00,0,47.05128049,8.31290106,18.000,11.450,-0.603,0.192,5.000,True
2026-09-09 13:22:11.50+00:00,0,47.05127922,8.31290378,18.000,11.500,-0.593,0.192,5.000,True
2026-09-09 13:22:11.55+00:00,0,47.05127796,8.31290651,18.000,11.550,-0.584,0.192,5.000,True
2026-09-09 13:22:11.60+00:00,0,47.05127672,8.31290927,18.000,11.600,-0.574,0.192,5.000,True
2026-09-09 13:22:11.65+00:00,0,47.05127550,8.31291204,18.000,11.650,-0.565,0.192,5.000,True
2026-09-09 13:22:11.70+00:00,0,47.05127430,8.31291483,18.000,11.700,-0.555,0.192,5.000,True
2026-09-09 13:22:11.75+00:00,0,47.05127311,8.31291763,18.000,11.750,-0.545,0.192,5.000,True
2026-09-09 13:22:11.80+00:00,0,47.05127195,8.31292045,18.000,11.800,-0.536,0.192,5.000,True
2026-09-09 13:22:11.85+00:00,0,47.05127080,8.31292329,18.000,11.850,-0.526,0.192,5.000,True
2026-09-09 13:22:11.90+00:00,0,47.05126967,8.31292614,18.000,11.900,-0.517,0.192,5.000,True
2026-09-09 13:22:11.95+00:00,0,47.05126856,8.31292901,18.000,11.950,-0.507,0.192,5.000,True
2026-09-09 13:22:12.00+00:00,0,47.05126747,8.31293190,18.000,12.000,-0.497,0.192,5.000,True
2026-09-09 13:22:12.05+00:00,0,47.05126640,8.31293480,18.000,12.050,-0.488,0.192,5.000,True
2026-09-09 13:22:12.10+00:00,0,47.05126534,8.31293771,18.000,12.100,-0.478,0.192,5.000,True
2026-09-09 13:22:12.15+00:00,0,47.05126431,8.31294064,18.000,12.150,-0.469,0.192,5.000,True
2026-09-09 13:22:12.20+00:00,0,47.05126329,8.31294359,18.000,12.200,-0.459,0.192,5.000,True
